question_id,question_text,category,verified_answer,source_url
Q001,"What fasting blood sugar level is considered normal for an adult without diabetes?",numeric_claim,"A fasting blood glucose level below 100 mg/dL is generally considered normal. 100-125 mg/dL is classified as prediabetes, and 126 mg/dL or higher indicates diabetes.",https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/ive-been-diagnosed-with-prediabetes-what-does-that-mean
Q002,"What percentage of the average adult human body is made up of water?",numeric_claim,"Up to about 60% of the adult human body is water, though the exact percentage varies by tissue, age, and sex.",https://www.usgs.gov/water-science-school/science/water-you-water-and-human-body
Q003,"At what age does the USPSTF/CDC recommend adults at average risk begin routine colorectal cancer screening?",recent_event,"Age 45, for adults at average risk, continuing through age 75. This was lowered from age 50 in the 2021 update to the guideline.",https://www.cdc.gov/colorectal-cancer/screening/index.html
Q004,"Does the USPSTF currently recommend starting daily low-dose aspirin for primary prevention of heart disease in adults 60 and older?",recent_event,"No. As of the 2022 update, the USPSTF recommends against initiating low-dose aspirin for primary prevention of cardiovascular disease in adults 60 or older. For adults 40-59 with elevated cardiovascular risk, the decision is individualized (shared decision-making). This is a reversal of the more permissive 2016 guidance.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/aspirin-to-prevent-cardiovascular-disease-preventive-medication
Q005,"Is coffee bad for you?",ambiguous_phrasing,"Underspecified as asked - it depends on amount and who's asking. For most healthy adults, moderate coffee intake (up to about 4 cups/day) is associated with health benefits (lower risk of type 2 diabetes, Parkinson's disease, and some cancers), not harm. Exceptions apply, e.g. pregnant individuals are advised to limit intake to under 2 cups/day. A good answer should surface this nuance rather than giving a flat yes/no.",https://newsnetwork.mayoclinic.org/discussion/is-coffee-drinking-part-of-a-healthy-diet/
Q006,"Can adults safely take ibuprofen and acetaminophen together for pain relief?",nuanced_medical,"Generally yes, short-term and at recommended doses - they work through different mechanisms and combination products exist for this purpose. The nuance: acetaminophen carries a serious liver-damage risk at high doses, so total daily acetaminophen intake across all sources must stay within the recommended limit, and long-term use should be discussed with a doctor rather than self-managed indefinitely.",https://www.mayoclinic.org/drugs-supplements/ibuprofen-and-acetaminophen-oral-route/description/drg-20526898
Q007,"Does cracking your knuckles cause arthritis?",common_myth,"No. This is a widely believed but false claim. Studies show people who habitually crack their knuckles have the same rates of arthritis as people who don't. Mayo Clinic hand surgeons confirm there is no established link.",https://newsnetwork.mayoclinic.org/discussion/a-hand-surgeons-advice-about-knuckle-cracking-mayo-clinic-radio-health-minute/
Q008,"How does the human body produce vitamin D?",straightforward_fact,"The skin synthesizes vitamin D when exposed to UVB sunlight. This does not happen through window glass, and production is reduced by clouds, smog, sunscreen, older age, and darker skin pigmentation.",https://ods.od.nih.gov/factsheets/VitaminD-Consumer/
Q009,"How many hours of sleep per night do adults need, according to the CDC?",numeric_claim,"Adults aged 18-60 should get 7 or more hours of sleep per night; adults 61-64 need 7-9 hours, and adults 65 and older need 7-8 hours.",https://www.cdc.gov/sleep/about/index.html
Q010,How many minutes of physical activity per week does the CDC recommend for adults?,numeric_claim,"At least 150 minutes a week of moderate-intensity aerobic activity (such as brisk walking), plus muscle-strengthening activity at least 2 days a week.",https://www.cdc.gov/physical-activity-basics/guidelines/index.html
Q011,"What BMI range counts as a healthy weight for adults, according to the CDC?",numeric_claim,A BMI of 18.5 to less than 25 is classified as Healthy Weight for adults aged 20 and older.,https://www.cdc.gov/bmi/adult-calculator/bmi-categories.html
Q012,What is considered a normal resting heart rate for adults?,numeric_claim,A normal resting heart rate for adults ranges from 60 to 100 beats per minute.,https://www.mayoclinic.org/healthy-lifestyle/fitness/expert-answers/heart-rate/faq-20057979
Q013,How often should adults get a tetanus booster shot?,numeric_claim,The CDC recommends a Td or Tdap booster every 10 years for all adults.,https://www.cdc.gov/tetanus/hcp/vaccine-recommendations/index.html
Q014,"What blood pressure reading is considered normal, according to the CDC?",numeric_claim,A normal blood pressure level is less than 120/80 mmHg.,https://www.cdc.gov/high-blood-pressure/about/index.html
