question_id,response_label,raw_response,cited_source_if_any
Q001,A,"For an adult without diabetes, a **normal fasting blood sugar level is below 100 mg/dL** (milligrams per deciliter). 

According to guidelines from the **American Diabetes Association (ADA)** and the **Centers for Disease Control and Prevention (CDC)**, fasting blood sugar levels break down as follows:

*   **Normal:** **99 mg/dL or lower** (or below 5.6 mmol/L)
*   **Prediabetes:** **100 to 125 mg/dL** (5.6 to 6.9 mmol/L)
*   **Diabetes:** **126 mg/dL or higher** (7.0 mmol/L or higher) on two separate tests

### What does ""fasting"" mean?
To get an accurate result, a fasting blood sugar test requires you to have nothing to eat or drink (except plain water) for **at least 8 hours** before the test. Because of this, the test is usually performed first thing in the morning.

*Note: While a single reading can give helpful information, doctors typically require a repeated test or additional screening (such as an A1C test) to formally diagnose prediabetes or diabetes.*",
Q001,B,"For an adult without diabetes, a **normal fasting blood sugar level is below 100 mg/dL (5.6 mmol/L)** after not eating for at least 8 hours.

Typical adult ranges:

- **Normal:** below 100 mg/dL (below 5.6 mmol/L)
- **Prediabetes:** 100–125 mg/dL (5.6–6.9 mmol/L)
- **Diabetes range:** 126 mg/dL (7.0 mmol/L) or higher, usually confirmed with repeat testing

These cutoffs are from the **American Diabetes Association (ADA)**. A single elevated result does not necessarily diagnose diabetes; consult a healthcare professional for interpretation.",
Q001,C,"# Normal Fasting Blood Sugar Levels

For adults without diabetes, a **normal fasting blood sugar level is generally less than 100 mg/dL** (milligrams per deciliter).

## Blood Sugar Categories

According to the American Diabetes Association:

- **Normal:** Less than 100 mg/dL
- **Prediabetes:** 100-125 mg/dL
- **Diabetes:** 126 mg/dL or higher

## Important Notes

- ""Fasting"" means no food or drink (except water) for at least 8 hours before the test
- These tests are typically done in the morning
- Individual results can vary slightly depending on the lab and testing method
- If your fasting blood sugar is consistently elevated, your doctor may recommend additional testing or lifestyle changes

If you're concerned about your blood sugar levels, it's best to consult with your healthcare provider, who can interpret your results in the context of your overall health.",
Q002,A,"On average, the adult human body is made up of about **60% water**. 

However, this percentage can range between **50% and 65%** depending on a few key factors:

* **Biological Sex:** An adult man’s body is typically around **60% water**, while an adult woman’s body averages about **55% water**. This difference exists because women naturally have a higher proportion of body fat, which contains less water than lean muscle tissue.
* **Age:** Infants are born at around 75% water, but that percentage drops as we age. Elderly adults may have a body water percentage closer to 50%.
* **Fitness Level:** Lean muscle mass holds much more water than fat mass, so athletic individuals generally have higher body water percentages.

### Where is the water located?
Water isn't just floating around in your stomach; it is packed into your cells, tissues, and blood. 

According to the **U.S. Geological Survey (USGS)**, the water composition in different parts of the body includes:
* **Lungs:** ~83% water
* **Muscles and Kidneys:** ~79% water
* **Brain and Heart:** ~73% water
* **Skin:** ~64% water
* **Bones:** ~31% water",
Q002,B,"# Water Content in the Adult Human Body

Approximately **50-60%** of an average adult human body is made up of water, with **60%** being the most commonly cited figure.

This percentage can vary based on several factors:

- **Age**: Younger adults tend to have higher water content (around 60%), while older adults typically have lower percentages (around 50%)
- **Sex**: Men generally have slightly higher water content than women due to differences in body composition
- **Body composition**: People with more muscle mass have higher water percentages, since muscle contains more water than fat tissue

This water is distributed throughout your body in various ways—inside cells (intracellular fluid) and in the spaces between cells (extracellular fluid)—and plays crucial roles in temperature regulation, nutrient transport, and many other vital functions.",
Q002,C,"The average adult human body is about **60% water by weight**.

This can vary by individual—typically around **55–65%**, with men often having a slightly higher percentage than women and babies having more (about 70–75%).",
Q003,A,"# Colorectal Cancer Screening Recommendations

According to the **U.S. Preventive Services Task Force (USPSTF)** and **CDC**, adults at average risk should begin routine colorectal cancer screening at **age 45**.

## Key Details:

- **Age to start:** 45 years old
- **Who this applies to:** Adults at average risk (no personal history of colorectal cancer, polyps, or inflammatory bowel disease, and no family history of colorectal cancer)
- **Screening methods:** Multiple options are available, including colonoscopy, stool-based tests, and other modalities
- **When this changed:** The USPSTF lowered the starting age from 50 to 45 in 2021, based on evidence showing rising rates of colorectal cancer in younger adults

## Important Note:

People at **higher risk** (due to family history, personal medical history, or genetic syndromes) may need to start screening earlier and should discuss their individual risk with their healthcare provider.

For the most current recommendations, you can visit the **CDC website** (cdc.gov) or **USPSTF website** (uspreventiveservicestaskforce.org).",
Q003,B,"The **U.S. Preventive Services Task Force (USPSTF)** and the **CDC** recommend that adults at **average risk begin routine colorectal cancer screening at age 45**.

Screening is generally recommended through **age 75**; adults ages **76–85** should discuss the decision with a clinician based on overall health and prior screening history. People with increased risk—such as a strong family history, inflammatory bowel disease, or certain genetic conditions—may need to start earlier.

Sources: **USPSTF colorectal cancer screening recommendation** and **CDC Colorectal Cancer Screening Guidelines**.",
Q003,C,"Both the **U.S. Preventive Services Task Force (USPSTF)** and the **Centers for Disease Control and Prevention (CDC)** recommend that adults at average risk begin routine colorectal cancer screening at **age 45**. 

Here are the key details from their recommendations:

* **Ages 45 to 75:** Routine screening is strongly recommended for all adults in this age group. 
* **Ages 76 to 85:** The decision to screen should be made on an individual basis after discussing health history and overall life expectancy with a doctor.
* **Over age 85:** Routine screening is generally no longer recommended.

**Why age 45?** 
In May 2021, the USPSTF updated its guidelines to lower the starting age from 50 down to 45. The CDC aligns with this recommendation because data shows that colorectal cancer rates have been rising among adults under age 50. 

*Note: These guidelines apply to people at **average risk**. If you have a personal or family history of colorectal cancer, polyps, or inflammatory bowel disease, the CDC recommends speaking with your doctor, as you may need to start screening earlier than age 45.*",
Q004,A,"**No**, the U.S. Preventive Services Task Force (USPSTF) **does not recommend** starting daily low-dose aspirin for the primary prevention of heart disease in adults 60 and older. 

In its updated **2022 recommendation statement on Aspirin Use to Prevent Cardiovascular Disease**, the USPSTF recommends **against** initiating low-dose aspirin use for preventing a first heart attack or stroke in people 60 years of age or older (assigning it a ""Grade D"" recommendation).

Here is a breakdown of why they make this recommendation and what you should know:

### Why the USPSTF recommends against it
* **Bleeding risks outweigh the benefits:** As people age, the risk of serious internal bleeding—especially gastrointestinal bleeding and hemorrhagic strokes (bleeding in the brain)—increases significantly. For adults 60 and older who do not already have heart disease, the potential risk of bleeding outweighs the small potential benefit of preventing a first heart attack or stroke.

### Important Distinctions to Keep in Mind
* **Primary vs. Secondary Prevention:** This recommendation applies *only* to ""primary prevention""—meaning people who **do not** have a history of heart disease, heart attack, stroke, or heart stents. If you have already had a cardiovascular event or procedure, daily aspirin may still be necessary for ""secondary prevention.""
* **Adults ages 40 to 59:** For this younger group with a 10% or higher risk of heart disease over the next 10 years, the USPSTF states that the decision to start aspirin should be an individual one made after a discussion with a healthcare provider (a ""Grade C"" recommendation).

### What should you do?
* **Do not stop taking aspirin on your own:** If you are 60 or older and currently take daily low-dose aspirin, do not stop taking it without talking to your healthcare provider first. 
* **Consult your doctor:** Always speak with a physician before starting or stopping any daily medication regime, as your personal medical history may mean a different approach is right for you. 

*Source: U.S. Preventive Services Task Force (USPSTF) Final Recommendation Statement: Aspirin Use to Prevent Cardiovascular Disease (April 2022).*",
